Function ID,D,MSE,N_train,N_test
1,1,6.403789206056792e-05,8,3
2,2,0.22136287733075788,12,3
3,3,0.0012472105430196955,10,3
4,4,3164.984614858156,11,3
8,8,1.2237014321237354,10,3
